,exp,sub_id,segment_seconds,path,activation_arr,valence_arr,segment_id,valence,arousal,emotion
0,personal,1830001,4.0,/z/lancelcy/R21/mfbs/0.npy,{5|4|5|7|5|6},{4|5|5|6|5|7},0,1,1,0.16666666666666666;0.5;0.3333333333333333
1,personal,1830001,7.0,/z/lancelcy/R21/mfbs/1.npy,{8|5|5|7|6|7},{5|6|6|6|5|6},1,2,2,0.0;0.3333333333333333;0.6666666666666666
2,personal,1830001,3.0,/z/lancelcy/R21/mfbs/2.npy,{3|5|6|6|4},{7|6|6|6|5},2,2,0,0.0;0.2;0.8
3,personal,1830001,9.0,/z/lancelcy/R21/mfbs/11.npy,{7|5|6|6|6|4},{6|6|6|7|5|6},11,2,2,0.0;0.16666666666666666;0.8333333333333334
4,personal,1830001,6.0,/z/lancelcy/R21/mfbs/12.npy,{5|5|7|6|7},{6|5|5|4|5},12,1,2,0.2;0.6;0.2
5,personal,1830001,6.0,/z/lancelcy/R21/mfbs/13.npy,{5|7|7|7|9},{5|4|6|5|9},13,1,2,0.2;0.4;0.4
6,personal,1830001,4.0,/z/lancelcy/R21/mfbs/17.npy,{7|5|6|7|7|7|8|7|7},{6|4|6|6|6|6|4|5|8},17,2,2,0.2222222222222222;0.1111111111111111;0.6666666666666666
7,personal,1830001,2.0,/z/lancelcy/R21/mfbs/18.npy,{4|4|6|4|3},{6|6|5|5|4},18,1,0,0.2;0.4;0.4
8,personal,1830001,18.0,/z/lancelcy/R21/mfbs/19.npy,{6|6|7|7},{1|5|5|5},19,1,2,0.25;0.75;0.0
9,personal,1830001,18.0,/z/lancelcy/R21/mfbs/20.npy,{4|6},{5|6},20,1,0,0.0;0.5;0.5
10,personal,1830001,8.0,/z/lancelcy/R21/mfbs/21.npy,{4|5|5|4|3},{4|4|5|6|3},21,0,0,0.6;0.2;0.2
11,personal,1830001,2.0,/z/lancelcy/R21/mfbs/22.npy,{4|6|7|5|7},{6|7|6|6|8},22,2,2,0.0;0.0;1.0
12,personal,1830001,9.0,/z/lancelcy/R21/mfbs/23.npy,{6|4|5|7|5|7},{5|6|6|6|6|7},23,2,2,0.0;0.16666666666666666;0.8333333333333334
13,personal,1830001,7.0,/z/lancelcy/R21/mfbs/24.npy,{6|4|5|7|5|5},{6|7|5|6|5|7},24,2,1,0.0;0.3333333333333333;0.6666666666666666
14,personal,1830001,4.0,/z/lancelcy/R21/mfbs/25.npy,{5|4|5|7|5|6},{5|5|5|5|5|5},25,1,1,0.0;1.0;0.0
15,personal,1830001,9.0,/z/lancelcy/R21/mfbs/26.npy,{7|3|5|7|5|5},{6|5|5|6|5|6},26,1,1,0.0;0.5;0.5
16,personal,1830001,10.0,/z/lancelcy/R21/mfbs/27.npy,{5|5|7|6|7},{6|6|7|7|8},27,2,2,0.0;0.0;1.0
17,personal,1830001,3.0,/z/lancelcy/R21/mfbs/28.npy,{4|5|6|5|5},{5|5|6|6|6},28,2,1,0.0;0.4;0.6
18,personal,1830001,11.0,/z/lancelcy/R21/mfbs/29.npy,{4|3|3|4|3|3|4|4},{5|5|3|5|6|6|6|4},29,1,0,0.25;0.375;0.375
19,personal,1830001,13.0,/z/lancelcy/R21/mfbs/31.npy,{6|4|5|5|4|6|6|6|6},{5|6|5|5|6|4|4|3|6},31,0,2,0.3333333333333333;0.3333333333333333;0.3333333333333333
20,personal,1830001,7.0,/z/lancelcy/R21/mfbs/34.npy,{3|4|4|4|4|3|6},{6|6|6|7|7|6|7},34,2,0,0.0;0.0;1.0
21,personal,1830001,4.0,/z/lancelcy/R21/mfbs/35.npy,{3|4|6|6|5},{6|6|7|7|7},35,2,0,0.0;0.0;1.0
22,personal,1830001,4.0,/z/lancelcy/R21/mfbs/40.npy,{4|4|4|6|6},{6|6|6|6|6},40,2,0,0.0;0.0;1.0
23,personal,1830001,3.0,/z/lancelcy/R21/mfbs/41.npy,{3|6|4|5|7},{5|6|6|5|6},41,2,0,0.0;0.4;0.6
24,personal,1830001,3.0,/z/lancelcy/R21/mfbs/43.npy,{3|5|6|6|6},{4|5|4|6|5},43,0,2,0.4;0.4;0.2
25,personal,1830001,2.0,/z/lancelcy/R21/mfbs/44.npy,{5|5|6|4|6},{4|4|4|3|5},44,0,1,0.8;0.2;0.0
26,personal,1830001,4.0,/z/lancelcy/R21/mfbs/45.npy,{6|4|6|7|6|7},{3|4|4|5|3|5},45,0,2,0.6666666666666666;0.3333333333333333;0.0
27,personal,1830001,13.0,/z/lancelcy/R21/mfbs/46.npy,{4|6|7|7|7},{6|5|4|5|8},46,1,2,0.2;0.4;0.4
28,personal,1830001,2.0,/z/lancelcy/R21/mfbs/48.npy,{4|5|6|5|5},{5|4|4|4|5},48,0,1,0.6;0.4;0.0
29,assessment,1830001,4.0,/z/lancelcy/R21/mfbs/49.npy,{2|4|3|2|2},{3|4|4|4|3},49,0,0,1.0;0.0;0.0
30,assessment,1830001,8.0,/z/lancelcy/R21/mfbs/50.npy,{1|4|4|2|4},{4|5|6|4|4},50,0,0,0.6;0.2;0.2
31,personal,1830001,2.0,/z/lancelcy/R21/mfbs/54.npy,{3|4|5|5|3},{5|5|5|5|3},54,1,0,0.2;0.8;0.0
32,personal,1830001,5.0,/z/lancelcy/R21/mfbs/55.npy,{4|6|3|4|4|3|4|4|4|4|4|4|4|5|4|4},{7|7|6|6|6|6|7|7|7|7|7|7|7|7|7|5},55,2,0,0.0;0.0625;0.9375
33,personal,1830001,2.0,/z/lancelcy/R21/mfbs/56.npy,{4|3|4|4|4|2},{5|5|7|6|6|6},56,2,0,0.0;0.3333333333333333;0.6666666666666666
34,personal,1830001,2.0,/z/lancelcy/R21/mfbs/60.npy,{4|6|7|6|6},{5|5|5|5|6},60,1,2,0.0;0.8;0.2
35,personal,1830001,11.0,/z/lancelcy/R21/mfbs/61.npy,{5|4|4|5|5|5|6|6|6|5|6},{6|6|5|6|5|6|7|7|6|6|9},61,2,1,0.0;0.18181818181818182;0.8181818181818182
36,personal,1830001,5.0,/z/lancelcy/R21/mfbs/62.npy,{4|5|3|4|4|3|4|3|4|4|6|4|4|4},{6|6|5|6|6|6|6|6|7|7|7|6|6|5},62,2,0,0.0;0.14285714285714285;0.8571428571428571
37,personal,1830001,5.0,/z/lancelcy/R21/mfbs/66.npy,{3|4|4|4|3},{4|3|4|6|3},66,0,0,0.8;0.0;0.2
38,personal,1830001,5.0,/z/lancelcy/R21/mfbs/67.npy,{5|4|4|4|5|4|4|4|4|3|4|3|4|5|4|5|4},{4|4|4|4|3|4|4|4|4|4|4|4|4|4|5|5|5},67,0,0,0.8235294117647058;0.17647058823529413;0.0
39,assessment,1830001,5.0,/z/lancelcy/R21/mfbs/69.npy,{3|3|3|4|2|3},{5|4|3|6|4|4},69,0,0,0.6666666666666666;0.16666666666666666;0.16666666666666666
40,assessment,1830001,2.0,/z/lancelcy/R21/mfbs/70.npy,{4|2|5|4|4|3},{4|4|5|5|4|2},70,0,0,0.6666666666666666;0.3333333333333333;0.0
41,assessment,1830001,2.0,/z/lancelcy/R21/mfbs/71.npy,{3|5|4|3|3},{6|5|6|5|2},71,1,0,0.2;0.4;0.4
42,assessment,1830001,3.0,/z/lancelcy/R21/mfbs/72.npy,{2|4|2|3|4},{5|3|4|4|3},72,0,0,0.8;0.2;0.0
43,personal,1830001,2.0,/z/lancelcy/R21/mfbs/78.npy,{4|4|4|6|3},{6|8|7|8|7},78,2,0,0.0;0.0;1.0
44,personal,1830001,6.0,/z/lancelcy/R21/mfbs/79.npy,{6|4|6|7|6|7},{7|6|7|6|8|8},79,2,2,0.0;0.0;1.0
45,personal,1830001,5.0,/z/lancelcy/R21/mfbs/81.npy,{4|4|6|6|6|6},{5|6|7|7|9|7},81,2,2,0.0;0.16666666666666666;0.8333333333333334
46,personal,1830001,5.0,/z/lancelcy/R21/mfbs/82.npy,{5|6|4|4|5|5|5|6|5|5|4|6},{7|8|6|6|5|5|6|7|7|7|6|7},82,2,1,0.0;0.16666666666666666;0.8333333333333334
47,personal,1830001,9.0,/z/lancelcy/R21/mfbs/83.npy,{7|4|5|5|6|6|7|6|6|5},{5|5|5|5|5|6|5|5|6|7},83,1,2,0.0;0.7;0.3
48,personal,1830001,3.0,/z/lancelcy/R21/mfbs/84.npy,{4|6|6|6|4},{7|6|7|7|7},84,2,2,0.0;0.0;1.0
49,personal,1830001,7.0,/z/lancelcy/R21/mfbs/86.npy,{4|5|6|5|6|6|7|6|6|4},{5|5|5|5|6|5|6|6|5|5},86,1,2,0.0;0.7;0.3
50,personal,1830001,7.0,/z/lancelcy/R21/mfbs/87.npy,{6|4|6|6|5|5},{4|5|5|4|5|6},87,1,2,0.3333333333333333;0.5;0.16666666666666666
51,personal,1830001,4.0,/z/lancelcy/R21/mfbs/88.npy,{6|8|8|8|8|7|7|8},{6|7|6|6|7|7|6|7},88,2,2,0.0;0.0;1.0
52,personal,1830001,4.0,/z/lancelcy/R21/mfbs/90.npy,{5|6|6|7|7|6|7},{7|6|6|7|7|7|8},90,2,2,0.0;0.0;1.0
53,assessment,1830001,4.0,/z/lancelcy/R21/mfbs/97.npy,{4|7|5|5|5},{5|6|7|7|7},97,2,1,0.0;0.2;0.8
54,personal,1830001,9.0,/z/lancelcy/R21/mfbs/98.npy,{6|4|5|7|5|6},{5|6|6|6|5|7},98,2,2,0.0;0.3333333333333333;0.6666666666666666
55,personal,1830001,4.0,/z/lancelcy/R21/mfbs/99.npy,{5|4|7|6|6|6},{6|6|6|6|6|7},99,2,2,0.0;0.0;1.0
56,personal,1830001,10.0,/z/lancelcy/R21/mfbs/100.npy,{7|4|6|6|6|6},{6|6|6|7|6|8},100,2,2,0.0;0.0;1.0
57,personal,1830001,8.0,/z/lancelcy/R21/mfbs/103.npy,{7|6|7|8|7|7},{3|6|6|6|7|8},103,2,2,0.16666666666666666;0.0;0.8333333333333334
58,personal,1830001,6.0,/z/lancelcy/R21/mfbs/105.npy,{6|7|5|6|6|7|6|6|7},{7|7|7|6|5|7|7|8|8},105,2,2,0.0;0.1111111111111111;0.8888888888888888
59,personal,1830001,9.0,/z/lancelcy/R21/mfbs/107.npy,{8|5|7|6|7|7|7|7},{7|7|7|7|7|7|7|9},107,2,2,0.0;0.0;1.0
60,personal,1830001,4.0,/z/lancelcy/R21/mfbs/108.npy,{4|5|5|5|5},{5|6|6|6|5},108,2,1,0.0;0.4;0.6
61,personal,1830001,14.0,/z/lancelcy/R21/mfbs/116.npy,{7|6|7|7|7|8},{4|5|4|5|4|8},116,0,2,0.5;0.3333333333333333;0.16666666666666666
62,personal,1830001,5.0,/z/lancelcy/R21/mfbs/117.npy,{5|5|6|5|7},{6|6|6|6|8},117,2,1,0.0;0.0;1.0
63,personal,1830001,3.0,/z/lancelcy/R21/mfbs/120.npy,{5|7|7|7|6},{5|4|5|5|5},120,1,2,0.2;0.8;0.0
64,personal,1830001,3.0,/z/lancelcy/R21/mfbs/121.npy,{6|5|7|7|7|8},{5|5|4|5|4|6},121,1,2,0.3333333333333333;0.5;0.16666666666666666
65,personal,1830001,3.0,/z/lancelcy/R21/mfbs/122.npy,{5|5|7|7|6|7|7|7|6|6|7},{4|6|7|6|5|6|6|5|6|5|9},122,2,2,0.09090909090909091;0.2727272727272727;0.6363636363636364
66,personal,1830001,9.0,/z/lancelcy/R21/mfbs/123.npy,{7|5|6|7|6|8},{5|5|5|5|5|7},123,1,2,0.0;0.8333333333333334;0.16666666666666666
