,features,emotion,validation,dataset
0,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49157.npy,1.0;0.0;0.0,0,0
1,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49158.npy,0.8;0.2;0.0,0,0
2,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49161.npy,0.2;0.8;0.0,0,0
3,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49164.npy,0.8;0.2;0.0,0,0
4,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49167.npy,0.8;0.2;0.0,0,0
5,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49168.npy,0.8333333333333334;0.16666666666666666;0.0,0,0
6,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49174.npy,0.2;0.8;0.0,0,0
7,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49176.npy,0.8;0.2;0.0,0,0
8,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49178.npy,0.6666666666666666;0.3333333333333333;0.0,0,0
9,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49181.npy,0.16666666666666666;0.6666666666666666;0.16666666666666666,0,0
10,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49182.npy,0.6666666666666666;0.3333333333333333;0.0,0,0
11,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49183.npy,0.6666666666666666;0.3333333333333333;0.0,0,0
12,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49190.npy,0.6666666666666666;0.3333333333333333;0.0,0,0
13,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49191.npy,0.0;1.0;0.0,0,0
14,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49194.npy,1.0;0.0;0.0,0,0
15,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49199.npy,1.0;0.0;0.0,0,0
16,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49202.npy,0.4;0.6;0.0,0,0
17,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49204.npy,0.6666666666666666;0.16666666666666666;0.16666666666666666,0,0
18,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49207.npy,0.4;0.6;0.0,0,0
19,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49212.npy,0.0;1.0;0.0,0,0
20,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49213.npy,0.8;0.2;0.0,0,0
21,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49214.npy,0.6666666666666666;0.16666666666666666;0.16666666666666666,0,0
22,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49215.npy,0.2;0.0;0.8,0,0
23,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49218.npy,1.0;0.0;0.0,0,0
24,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49226.npy,0.4;0.6;0.0,0,0
25,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49232.npy,0.4;0.6;0.0,0,0
26,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49237.npy,0.2;0.8;0.0,0,0
27,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49266.npy,0.16666666666666666;0.8333333333333334;0.0,0,0
28,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49270.npy,0.4;0.6;0.0,0,0
29,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49284.npy,1.0;0.0;0.0,0,0
30,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49285.npy,0.0;0.8333333333333334;0.16666666666666666,0,0
31,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49286.npy,0.0;0.6;0.4,0,0
32,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49293.npy,0.6666666666666666;0.3333333333333333;0.0,0,0
33,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49300.npy,0.6666666666666666;0.3333333333333333;0.0,0,0
34,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49302.npy,0.3333333333333333;0.6666666666666666;0.0,0,0
35,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49306.npy,0.6;0.0;0.4,0,0
36,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49307.npy,1.0;0.0;0.0,0,0
37,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49311.npy,0.6666666666666666;0.3333333333333333;0.0,0,0
38,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49314.npy,0.0;0.6666666666666666;0.3333333333333333,0,0
39,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49316.npy,0.6666666666666666;0.16666666666666666;0.16666666666666666,0,0
40,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49318.npy,0.16666666666666666;0.8333333333333334;0.0,0,0
41,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49320.npy,0.4;0.6;0.0,0,0
42,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49321.npy,0.2;0.8;0.0,0,0
43,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49322.npy,0.0;0.8333333333333334;0.16666666666666666,0,0
44,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49323.npy,0.2;0.2;0.6,0,0
45,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49327.npy,0.4;0.6;0.0,0,0
46,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49331.npy,0.0;0.2;0.8,0,0
47,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49332.npy,0.2;0.6;0.2,0,0
48,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49333.npy,1.0;0.0;0.0,0,0
49,/z/lancelcy/PRIORI_Emotion/pad_mfbs/49335.npy,0.16666666666666666;0.6666666666666666;0.16666666666666666,0,0
